"ResponseId","country","hate_definition","hate_definition_cleaned"
"R_vZyYEIZQ67y2I0x","phl","Isang bagay na nakakasama o nakakasakit sa damdamin ng ibang tao.","Something that hurts or hurts other people&#39;s feelings."
"R_1j6zdMF01ng5UJF","phl","Kapag ang pananalita ay direktang nang-aalipusta sa isang grupo ng lipunan","When speech directly offends a social group"
"R_2BfeeO9jEMrqbSU","phl","Report","Report"
"R_1DtZvTp9zwgABVR","phl","Yong nagmumura at pinepersonal ang kausap","The one who curses and takes the other person personally"
"R_bqMgRoTA2CbUPJv","phl","Ang pagdapurak at panglalait sa personalidad ng isa tao,bagay o instutusyon","The rush and defame the personality of a person, thing or institution"
"R_1cYsBoV2YcEzscJ","phl","Educate the public regarding right conduct for public comments in social media","Educate the public regarding right conduct for public comments in social media"
"R_123gcmlDXrwHAfe","phl","Hate speech isang uri ng pagpapahayag na nakakasira ng disposisyon ng Isang tao","Hate speech is a type of expression that destroys the disposition of a person"
"R_21nCdJ4YwzfeTVn","phl","Isang panig na pananaw lamang, masama at negatibo tungo sa ibang tao","Only one sided view, bad and negative towards other people"
"R_2TQR0baElGfyYvj","phl","mga salita na nakakasakit ng damdamin at nakakasira ng dignidad","words that hurt feelings and destroy dignity"
"R_5A6BSMGyOPikHtL","phl","Uri ng pananalita na nagpapahiwatig ng galit o pagkamuhi sa isang pangkat ng tao.","Type of speech that indicates anger or hatred towards a group of people."
"R_3hE1lCvMK2BuwE0","phl","Kung personal ang pag-atake sa kausap, at walang kinalaman sa isyu.","If the attack is personal to the other person, and has nothing to do with the issue."
"R_3GoB6tf8AxjVzMe","phl","Bias may kinikilingan may prinoprotektahan","Bias is biased and protected"
"R_3rSU8kB8sbjQIJY","phl","kapag sinabi o pinost ay nakaksakit na ng tao","when said or posted it hurts people"
"R_sb3AxBF4cvMcEBH","phl","Ang mga nagpopost ng maling impormasyon sa social media","Those who post false information on social media"
"R_2fSL0wC98y0kIlr","phl","Ang hate speech ay natutukoy kung iyo ay nakakasakit na ng damdamin.","Hate speech is determined if you are already hurtful."
"R_Rs5LsOFiFxq3ZwB","phl","Speech that specifically and intentionally targets and aims to hurt peoples weakeness","Speech that specifically and intentionally targets and aims to hurt peoples weakeness"
"R_3LdPDVlzgvKlGOE","phl","Mga komentong may pagbabanta o magmumura laban sa indibidual o grupo.","Threatening or cursing comments against an individual or group."
"R_2dncDDIQTvpOGzF","phl","incites to do harm","incites to do harm"
"R_tEejTCTOwKkW92N","phl","Pag ito ay may pagbabanta na. May pagpatay, may physical na pananakit ang gusto gawin. Gnun.","If this is a threat. There is killing, there is physical harm that you want to do. Mr."
"R_3NzgnQWVH1eTYIh","phl","Tila hindi ko ito maipaliwanag nang maayos sa ngayon. Paumanhin po.","I can&#39;t seem to explain it properly at the moment. Excuse me."
"R_RaxNeVz4PznkMPT","phl","Nah","Now"
"R_3EiJh2AAqm5pdNQ","phl","Hate speech ay mga salitang nakakasama sa kaligtasan o buhay ng mga tao","Hate speech is words that harm the safety or life of people"
"R_1DCI74HSEAHeYUk","phl","Any allegation without factual basis aimed at demoralizing certain individuals or groups","Any allegation without factual basis aimed at demoralizing certain individuals or groups"
"R_3KTpnsbrcj3yZNp","phl","Yung nakaka sakit sa taong pinatutungkulan ng hate speech","The one that hurts the person who is charged with hate speech"
"R_3PAy5H8KBBVBELN","phl","makkasama sa katauhan ng taong pinattungkulan ng hate speech","be with the person of the person charged with hate speech"
"R_1EfV4muWnU45rWS","phl","hate speech is urging people for unreasonable cause","hate speech is urging people for unreasonable cause"
"R_2ZByl3olkGfYLZU","phl","Puri galit ang haye speech","The haye speech is full of anger"
"R_Wj1RCRE7qAbes5r","phl","galit","anger"
"R_10HqkWat9Ckd5Hf","phl","Sagutin ng mahinahon ang mga kasinungalingan.","Answer lies calmly."
"R_2fpUsc2BXwMSZAF","phl","Kapag Hindi na maganda ang nilalaman Ng nakasulat","When the written content is no longer good"
"R_3KuqTBKj1cuW969","phl","Kapag ito ay direktang panlalait.","When it is direct insult."
"R_1lbqX7a72ljnvob","phl","Nakakasakit at nag nang uuri ng opinyon ng mga tao","It&#39;s hurtful and people&#39;s opinions have been classified"
"R_2A0fO48Ejmxf0ba","phl","The way they use the language, harshly stated,foul statement, below the belt statements.","The way they use the language, harshly stated,foul statement, below the belt statements."
"R_338xrwpihiaKJrM","phl","PERSONAL ATTACK INSTEAD OF GIVING AN OPINION BASE ON THE TOPIC","PERSONAL ATTACK INSTEAD OF GIVING AN OPINION BASE ON THE TOPIC"
"R_262QkJ3Ml8hhByz","phl","ang hate speech ay isang malaking bagay lalao na kung ikaw ay pulitiko celebrity or influencer dahil lahat ng post or hate speech na gagawin ay maaring makaapekto sa ideyal n pagiisip ng isang tao","hate speech is a big thing especially if you are a politician, celebrity or influencer because every post or hate speech that is made can affect the ideal of a person&#39;s thinking"
"R_2ccNspbc7VXXOsr","phl","magbitiw ka ng mga salita sa paraang gusto mong marinig para sa iyong sarili at ikakabuti ng taong pinagsasabihan mo, iwasang makasakit ng damdamin ng iba.","speak the words in a way that you want to hear for yourself and for the good of the person you are talking to, avoid hurting the feelings of others."
"R_3MA4GO9xam9bYFv","phl","Hate speech ay may halong pagkainggit o galit toward sa isang tao o issue. Kaya nagkakaroon ng hate speech gaya ng pagmumura, panghahamak, at iba pa ay dahil hindi masaya ang taong nagsabi nito sa kabuuan ng kanyang buhay. Mas nakakaawa sila kaysa nakakagalit.","Hate speech is mixed with envy or anger towards a person or issue. That&#39;s why there is hate speech such as cursing, contempt, and others because the person who said it was unhappy throughout his life. They are more pitiful than infuriating."
"R_1dKpC7c4X28wYG2","phl","Hate speech is slanderous if its content violates human rights and it also contains sarcasms and insults.it degrades the and humiliates a person.","Hate speech is slanderous if its content violates human rights and it also contains sarcasms and insults.it degrades the and humiliates a person."
"R_2YbmRYkav6gWOkt","phl","Masasabi kong ito ay hate speech kung ang konteksto o ang buod o mensahe ay kakikitaan o lumilikha ng pagkamuhi o galit sa isa o grupo ng mga tao","I can say it is hate speech if the context or the summary or message is seen or creates hatred or anger towards one or a group of people"
"R_2S6qhXJSCPmvDMt","phl","Kapag ito ay malayo na isyu ng pinag uusapan , katulad ng pagmumura , body shaming , kumbaga hinaluan na ito ng pamimintas para lang makasakit o masaktan ang damdamin ng taong iyon","When it&#39;s a distant issue, such as cursing, body shaming, it&#39;s as if it&#39;s mixed with criticism just to hurt or hurt that person&#39;s feelings."
"R_1cY4kmt6aF2AEqg","phl","Any form of speech that violates the rights of a certain group, usually the minority group. Something that is below-the-belt and may cause or feel harm towards the person whom the speech is referring to. For example: racial slurs, homophobic remarks, and red-tagging.","Any form of speech that violates the rights of a certain group, usually the minority group. Something that is below-the-belt and may cause or feel harm towards the person whom the speech is referring to. For example: racial slurs, homophobic remarks, and red-tagging."
"R_2P7L3BaKslcIp3Y","phl","Kung sa aakin lang kasi, sa ""Hate Speech"" aspect, tinutukoy ko ito base sa nararamdaman ng aking kausap o yung nag post. Hindi pa nangyayari sa akin na may magalit maliban lang sa aking mga magulang o nakakatanda.","If it&#39;s just mine, in the &quot;Hate Speech&quot; aspect, I refer to it based on the feelings of the person I&#39;m talking to or the one who posted. It has never happened to me to be angry with anyone except my parents or elders."
"R_BVVBdS01ZT1FChz","phl","Bilang Isang mamamayan Ng sting Banda,tungkulin po matin bawat Isa na mag isip at intindihin mo Muna Ang paksa Bago ka mag post o mag comment.","As a citizen of Sting Banda, it is the duty of everyone to think and understand the topic before you post or comment."
"R_zckEwr8SOjss0al","phl","Ang hate speech ay pananalota na nakakapinsala sa pagkatao ng tao sa kadahilanan ng kanyang paniniwala o pagkatao.","Hate speech is slander that harms a person&#39;s character because of his belief or character."
"R_DcTIuA684Y8noMV","phl","Ang hate speech ay walang laman na salita na ginawa nang mga western socialites who think there opinions are the center of the world, they are spoiled imperialist who have never lived in reality and any form of negative talk to them is bad infact I hold the opinion these people need to be discplined and shown the harsh reality of life because HATE SPEECH IS NOT A REAL WORLD BUT A MODERN INVENTION FOR IMAGINED OPRESSION. sorry for the aggresive point of view but this is how I feel about it","Ang hate speech ay walang laman na salita na ginawa nang mga western socialites who think there opinions are the center of the world, they are spoiled imperialist who have never lived in reality and any form of negative talk to them is bad infact I hold the opinion these people need to be discplined and shown the harsh reality of life because HATE SPEECH IS NOT A REAL WORLD BUT A MODERN INVENTION FOR IMAGINED OPRESSION. sorry for the aggresive point of view but this is how I feel about it"
"R_3k6D48rSIa0mjBa","phl","Hate speech is when you call for physical harm to be imposed on individuals who do not agree with your views.","Hate speech is when you call for physical harm to be imposed on individuals who do not agree with your views."
"R_2S1h2o3tDl4LT10","phl","Mga pangit na salita gaya ng pang iinsulto, pang aalimura ng kapwa, paninira, kasinungalingan at pagtatakip sa katotohanan.","Ugly words such as insults, insults, defamation, lies and covering up the truth."
"R_vdhH4LELerTDtKh","phl","Siguro para sa akin, ang hate speech ay ang mga salitang may pagbabanta sa partikular na grupo o indibiduwal na maaaring maghayag ng pagtatangi o prejudice laban sa kasarian o oryentasyon, relihiyon, at lahi.","Maybe for me, hate speech is the words that threaten a specific group or individual that can express prejudice or prejudice against gender or orientation, religion, and race."
"R_5ciajRbZiBCyIpj","phl","Hate Speech is a thing that it says anything to the first person that will incur hate and grudge of the first person, whether direct or indirect","Hate Speech is a thing that it says anything to the first person that will incur hate and grudge of the first person, whether direct or indirect"
"R_VRquCWPT8RCeHBf","phl","Kapag Ang ipinopost o Ang mga komento ay laban sa isang particular na grupo ng tao, at hindi sa issue, para sa akin ay hate speech yun. 
Halimbawa, kung Ang komento ay tungkol sa issue ng pahpapakasal ng third sex, hindi yun hate speech. Pero kapag Ang komento ay laban sa mga third sex in general, hate speech yun.","When the post or the comments are against a particular group of people, and not the issue, for me that is hate speech. For example, if the comment is about the issue of third sex marriage, it is not hate speech. But when the comment is against the third sex in general, that&#39;s hate speech."
"R_3QLgyYURrPJJfAV","phl","Mga post na pede nman na pag-usapan nlg pero mas pinipiling ipost khit na pde itong maging trauma sa ptutungkulan ng post.","Posts that can still be discussed but are preferred to be posted even though it can be a trauma to the post office."
"R_3sjpZAz3S2z8KFb","phl","Naglalaman ng pagbabanta, mas mababa ang tingin sa mga taong nabibilang sa isang grupo o relihiyon. Kawalan ng respeto.","Contain threats, look down on people who belong to a group or religion. Disrespect."
"R_3HjBK2if2jRFSr0","phl","Ito ay isang hate speech kung pwedeng makapaminsala sa tao o grupo Ng nagpopost lalo na kung ito ay fake news basta makapanira lng.marami dto nian sa Pilipinas mga bulaang vloggers na Pro Marcos,binabago ang kasaysayan ng Pilipinas.","This is a hate speech if it can harm the person or group who posts it, especially if it is fake news as long as it is harmful. There are many of these in the Philippines, false vloggers who are Pro Marcos, changing the history of the Philippines."
"R_3QRIHDl1sE4m1MA","phl","Ang hate speech ay ang pagsasabi ng hindi maganda at kasuklam suklam na mga mensahe sa ibang tao kahit wala namang ginagawang masama sa iyo ang tao na iyon.","Hate speech is saying bad and hateful messages to other people even if that person has done nothing bad to you."
"R_u48rBOS2ZyZE081","phl","Hate speech = Clear targeted hate towards people for their sex, race, gender, sexual orientation, occupation, origin, religion, anything in their background, etc.","Hate speech = Clear targeted hate towards people for their sex, race, gender, sexual orientation, occupation, origin, religion, anything in their background, etc."
"R_2EjjZdOKP2zjibS","phl","Ang hate speech ay isang pahayag na maaring mag bigay ng agam agam at negatibong reaksiyon sa iba pang mga gumagamit ng soc med at makapag papalala sa sitwasyun.","Hate speech is a statement that can cause suspicion and negative reactions to other users of soc med and can make the situation worse."
"R_3PSrvPCpmhHcva6","phl","Contains threats, insults or persoal attacks withoutaddressing the issue.

They can dis agree with others but  no personal attacks","Contains threats, insults or persoal attacks withoutaddressing the issue.

They can dis agree with others but  no personal attacks"
"R_sMw9pacCcEX84sV","phl","Ito ay isang uri ng pananalita na masakit at hindi maganda pakinngan o basahin. Para sa akin minsan ang mga hate speech ay papansin lamang sa social media, sila ang mga tao wala din magawa sa buhay kundi magbash nang magbash ng ibang tao. Mga taong wala laman, maingay pero wala laman parang lata.","This is a type of speech that is painful and unpleasant to hear or read. For me sometimes hate speech will only be noticed on social media, they are the people who have nothing to do in life but bash other people. Empty people, loud but empty like a can."
"R_1qUuaYEINiohZJU","phl","Para sa aking sariling pananaw.Ang Hate Speech,ay isang uri ng pananalita online o komentong may masasakit at mapagbantang pananalita laban sa isang partikular na indibidwal o user.","For my own view. Hate Speech, is a type of online speech or comment with hurtful and threatening language against a specific individual or user."
"R_1lluvzqC5DghEAR","phl","Ito ang personal na pag atake sa kinabibilangang antas ng pamumuhay, antas ng pinag-aralan, kasarian, paniniwalang politkal, relihiyon o paniniwalang ukol sa Diyos, lahi, at iba pang katulad nito. Na madalas ay may mapanlait o labis na nakasasakit ng damdamin na mga pananalita.","This is a personal attack that includes the standard of living, level of education, gender, political belief, religion or belief in God, race, and others like it. Which often has insulting or extremely hurtful words."
"R_1dmGOBFUzIeoDMj","phl","My personal interpretation of hate speech is, those kind of comments or posts, that is referring to certain group or people telling them negative things or everything that could be bad for those group/people.","My personal interpretation of hate speech is, those kind of comments or posts, that is referring to certain group or people telling them negative things or everything that could be bad for those group/people."
"R_22WfhKdcLrrzbFx","phl","For me, hate speech is a statement that a person used against someone when s/he is already losing an argument or s/he is incapable of intellectual conversation or exchange of ideas.","For me, hate speech is a statement that a person used against someone when s/he is already losing an argument or s/he is incapable of intellectual conversation or exchange of ideas."
"R_3IYxv7RGeTntBer","phl","Kung ang sinasabi ay laban sa pagkatao, kulay, kasarian, atbp. At nilalahukan na ng kapahamakan ng pinagsasabihan.","If what is being said is against personality, color, gender, etc. And the calamity of what is being said is involved."
"R_2Wvy0ToXKXnTTsD","phl","Hate speech may contain dangerous or harming threat to anyone even the moderator was affected. Pasensya na, mahirap sabihin sa filipino ang aking paliwanag.","Hate speech may contain dangerous or harmful threats to anyone even the moderator was affected. I&#39;m sorry, it&#39;s hard to explain my explanation in Filipino."
"R_1pxSKCvyIoT2X8N","phl","Kapag wala naman itong rational o experiential basis at basta na lang pinagmumukhang masama ang bagay o mga taong gusto nitong i-hate. Kapag nakakalimutan nitong may mga karapatang masasagasaan kung ang speech na ito ay magiging basis ng mga batas o panuntunin.","When it has no rational or experiential basis and just makes things or people it wants to hate look bad. When it forgets that there are rights that will be violated if this speech becomes the basis of laws or rules."
"R_2fJueGyIguHq8Ay","phl","Kung ito ay ay may direktang pagbabanta ng pananakitsa isang taong  o grupo ng mga taong nagpahayag ng opinyon na hindi sina-sangayunan ng nagba-banta","If it is a direct threat of slandering a person or group of people who express an opinion that is not shared by the person making the threat"
"R_2tmnVwVHPZMNFZJ","phl","sa aking pananaw - ito ay salitang nakasisira sa personalidad na tinutukoy...oo malaya ang taong maglahad ng kanyang saloobin subalit dapat din nating malaman na sila rin ay tao, nasasaktan sa mga nangyayari at mangyayari sa kaniyang kapaligiran o sa kanilang mga  buhay kaya nailalabas nila ang kanilang hate speech.","in my view - this is a word that destroys the personality referred to...yes the person is free to express his attitude but we must also know that they are also human, hurt by what happens and will happen in their environment or in their lives so it is released their hate speech."
"R_3DeH3gN5CtDzR91","phl","Para sa akin ang hate speech ay mga pananalitang nakakasakit sa kalooban o nakakapang insulto, nakakapanliit ngvpagkatao at nagdudulot ng pagkapahiya.","For me, hate speech is expressions that hurt the mood or are insulting, demeaning and causing embarrassment."
"R_1kHwC3W4j5xcMM3","phl","Ito ay paggamit/ginagamitan ng mga nakakasakit na salita kung saan maaaring mapahamak at maapektuhan ng malala ang taong sinasabihan nito.","It is the use/use of offensive words that can harm and seriously affect the person it is said to."
"R_tMuYN27KSE6UKaZ","phl","Kapag sa tingin ko ito ay nagpahayag ng walang basehang akusasyon at maaaring magdulot ng poot sa kabilang panig.","When I think it expresses baseless accusations and may cause hostility on the other side."
"R_3EEGr3c3LcYkRGO","phl","Speech na puno ng galit na walang rason at katotohanan mula sa isang taong gustong pabagsakin ang pamahalaan","Speech full of anger without reason and truth from a person who wants to overthrow the government"
"R_1GZz7sZH6vizSBJ","phl","Merong biases sa issue at gumagamit ng marahas na salita o pag threat sa pg justify ng kanyang prinsipyo.","There are biases in the issue and he uses violent words or threats to justify his principle."
"R_3hgwX9rs550QCCl","phl","Ang hate speech po ay isang napakalaking isyu na dapat mai-resolba sapagkat ito po ay nagdudulot ng pangamba sa mga minorya tulad ng mga may kapansanan, may edad, at iba pa na maaaring malabag ang batas sa bansa.","Hate speech is a huge issue that must be resolved because it causes fear among minorities such as the disabled, the elderly, and others who may violate the law in the country."
"R_b19NWiOlrYl3FAJ","phl","Kapag kasinungalingan at may intention na manlinlang at manakit ang tinutukoy o pinatutungkulan ng salita, ideya o mensahe ng speech.","When the word, idea or message of the speech is referred to or addressed as a lie and with the intention to deceive and hurt."
"R_1g7NC5GOaDiDlfZ","phl","Matutukoy mo ang isang hate speech base sa bigat ng salita na sinusulat or binabangit ng isang tao tungkol man ito sa personal na issue politika o kahit ano mang bagay na maaring mag dulot ng pinsala sa tao, Pisikal or mental man ito.","You can identify a hate speech based on the weight of the words that a person writes or mentions, whether it&#39;s about a personal issue, politics or anything that can cause harm to a person, whether it&#39;s physical or mental."
"R_2Se6QvLJVlmCI0u","phl","Ang hate speech para sa akin ay Ang pagsalungat Ng may malalim at matinding damdamin laban sa Isang indibidwal.","Hate speech for me is the opposition of someone with deep and strong feelings against an individual."
"R_3Mz0tcqkAoWhQoR","phl","Para sa akin ang hate speech.ay iyong direktang tumatalakay sa pagkatao ng isang tao kasama na ang kanyang pinagmulan","For me, hate speech is directly discussing a person&#39;s personality including his origin"
"R_1rGLoGLpWhZdNVM","phl","Ang hate speech ay may nilalaman ng mga.di kaaya ayang salita na tumutukoy sa gawaing di nila nagustuhan","Hate speech contains unpleasant words that refer to the work they do not like"
"R_Z1MRe5Aj6D3ibzr","phl","Hate speech is a myth created by people who can't handle criticism, that's life, people are good, people are bad.","Hate speech is a myth created by people who can't handle criticism, that's life, people are good, people are bad."
"R_1jkRFJFHFaIYaTM","phl","Ito ay mga mga speech na hindi umaayon sa mga sinasabi ng iba dahil itoy lihis sa paniniwala ng iba, gawa ng minorya o gawa ng iba ang paniniwala.","These are speeches that do not agree with what others are saying because it deviates from the beliefs of others, the work of the minority or the work of others&#39; beliefs."
"R_3JJjMMwjeR4qdWQ","phl","Hate speech and tawag sa walang basehan at emosyonal na hindi pagsang-ayon sa ibang tao. Layunin ng hate speech ang kabuuang pagalis sa mga ligalig imbes na ang pagintindi sa buong sitwasyon.","Hate speech and calls for baseless and emotional disapproval of other people. The purpose of hate speech is to completely eradicate the disturbances instead of understanding the whole situation."
"R_3kcPSpQkXQYWQXD","phl","Ang hate speech ay naglalaman Ng pagbabanta sa itong Buhay na maaring maging malaking issue ito sa itong pagkatao","Hate speech contains a threat to this life that can be a big issue for this person"
"R_3oUeLluapld1bQI","phl","Para sa akin masasabi mong hate speech kung nakakasira na sa pagkatao mo at naaapektuhan kna mentaly at emotionaly...","For me, you can say hate speech if it destroys your character and affects you mentally and emotionally..."
"R_stiLwMrsPaQqD85","phl","Ito su Isang pananalita na idiniditekta sa tao o grupo nagusto niyang patamaan ng kanyang pananalita.","This su A speech that is dictated to the person or group he wanted to hit with his speech."
"R_3HSkMZZ4tWuPAcx","ind","Gali gaoch, family'par galat comment","Wrong comment on bad village, family"
"R_ZgklijKbIrVJKHn","ind","ऐसे विचार जो किसी समुदाय या व्यक्ति विशेष को मानसिक पीड़ा देते हों।।","Such thoughts which cause mental distress to any community or individual."
"R_2thFFabGER6tkON","ind","Bo iske upper depend karta h 
","Bo depends on it 
"
"R_vpNUD9awOGudLt7","ind","गाली गलौज देना, अपराधिक बातें करना, और गंदी बातें कहना, देश और समाज को बुरा कहना।","Using abusive language, talking about criminal things, and saying dirty things, speaking ill about the country and society."
"R_3mgezqF8f4P9X1z","ind","शब्द जो किसी को आहत करें, यही अभद्र भाषा है।","Words that hurt someone are abusive language."
"R_12fepVSsxnTzj9i","ind"," गाली देना, जाति सूचक शब्द, रंग भेद या हिंसा की धमकी देना"," Abuse, racial slurs, racial discrimination or threats of violence"
"R_3dLjakuqoSe0RQi","ind","जिसके मन की शांति को क्रोध में बदल दे।","Whose peace of mind turns into anger."
"R_BYcyepQG9Gp9pZf","ind","जो दूसरों की भावनाओं को आहत करे, अथवा उन्हें अपमानित करे","that hurts the feelings of others or insults them"
"R_rfHJ02qmwlb9whr","ind","किसी की धार्मिक आस्था को ठेस ना पहुँचे और गाली गलौज प्रतिबंध हो","No one&#39;s religious beliefs should be hurt and abusive language should be prohibited"
"R_1OK4zhNbGZZcK9y","ind","किसी दूसरे व्यक्ति के सम्मान एवं सुरक्षा के भाव को आहत करने वाली भाषा अभद्र है।","Language that hurts another person&#39;s sense of dignity and security is abusive."
"R_3qsQaZIxw6CC8Mw","ind","Anything that can cause harm to any users psychological or emotional well being.","Anything that can cause harm to any users psychological or emotional well being."
"R_2V2uvRAliojk7YE","ind","Aap sirf apni baat ko rakh sakte bina kisi feelings ko hurt kiye","You can only state your opinion without hurting anyone&#39;s feelings"
"R_2rO3EdssJF1ONHH","ind","Jo man, samaj aur samay ke anusaar nahi hai.","Which is not in accordance with man, society and time."
"R_2dKK56ihgfXihxg","ind","Jis se kisi ki bhawna aahat ho","from whom someone&#39;s feelings are fulfilled"
"R_YWD1OjKQPVuzijT","ind","ऐसी भाषा जिससे सामने वाले व्यक्ति को दुख पहुचे  और समाज मे अमान्य हो वो अभद्र भाषा होती है","The language which hurts the other person and is unacceptable in the society is called abusive language."
"R_1g09WduOKi5oqyP","ind","Cast gender personal comment. Abuse language","Cast gender personal comment. Abuse language"
"R_2dEir8R1lpSzknD","ind","Na","Already"
"R_2aVpxRZUwg9C5mx","ind","Koi bhi shabd jo sammanniya nahi hai vo abhdra hai.","Any word which is not respectful is abhorrent."
"R_3qQASlLDthVJ4lb","ind","अभद्र भाषा वह भाषा है। जिसे हम स्वयं के प्रति नहीं सुनना चाहता।","Hate speech is the language that we do not want to hear against ourselves."
"R_2B4MLvZ7UtHjNui","ind","ऐसी भाषा, जिससे किसी व्यक्ति, समूह या समाज के लोगों की भावनाएं आहत हो।","Language which hurts the sentiments of any person, group or society."
"R_2sSzjJtOvnykSUN","ind","Jisme kisi ko koi bhi nuksan nh
","in which no one suffers any harm
"
"R_1kGfUZtXbK8SOzl","ind","जिससे लोगों में शर्मिंदगी हो।","Which causes embarrassment to people."
"R_ddr5MzYAmvvRMbL","ind","अगर किसी से कोई बात कहे • और उस बात से अगर उसका दिल दुखे वो ही अभद्र भाषा है ।।","If you say something to someone and it hurts his feelings, then that is abusive language."
"R_1EXtWylgvyUSBGQ","ind","Kisi ko gaali dena, maarne ki dhamki dena, kisi ke mahapurushon ko apshavd bolna","Abusing someone, threatening to kill, speaking ill of someone&#39;s great men"
"R_1A01B4p9uDkOvpD","ind","Abhadra bhasha me wo shabd aate he jisse saamne wale ke swabhimaan par thes lage","In a bad language those words come which attack the self esteem of the person in front of you"
"R_uaDSUsauaTxO65j","ind","वह अमर्यादित शब्द, जो किसी के मन को ठेस पहुँचाए","An abusive word that hurts someone&#39;s feelings"
"R_3QFyqRwuNgp4sUE","ind","जान से मारने की धमकी","Threats to kill"
"R_1QhXHmAgOV34aUj","ind","अश्लील शब्द, हिंसक वक्तव्य, द्वेषमूलक, अफवा, प्रक्षोभक भाषा","Obscene words, violent statements, hate speech, rumours, inflammatory language"
"R_3JwUWRKI0YFxchn","ind","ऐसी भाषा, जिससे लोगो को अपमानित महसूस करना पडे व गुस्सा आये","Language that can offend and anger people"
"R_XnbfHCfGYkopgFr","ind","Abusing words against people for mental torcher.","Abusing words against people for mental torcher."
"R_Os6CKqn3VdNvQqJ","ind","Kisi ko bhavana ko thesh pahuchana","to recognize someone&#39;s feelings"
"R_2ZNXNevtQLBpoNf","ind","Kisi ko apmanit karne wale shabdon ka parayog","Use of words that insult someone"
"R_2AYcVwsXxq7hwmo","ind","गाली गलोच वाली भाषा जिस से दूसरे के मन को ठेस पहुंचेती है","Abusive language that hurts another person&#39;s feelings"
"R_1rIbvnp2PMa306k","ind","Worng world","Worng world"
"R_3RaPRcKDTZYvuED","ind","कोई भी असामाजिक बात , जो आप अपने घर पर न कर सकते हो।","Any anti-social things that you cannot do at your home."
"R_2trK1XyrldyhixZ","ind","जातिसूचक शब्द,गाली और अपमानजनक भाषा","Casteist, abusive and derogatory language"
"R_1KmbOkDc5L007uo","ind","जो विचार देश के गौरव, किसी समुह, या व्यक्ति को आहत करता हो","Any idea which hurts the pride of the country, any group, or any individual"
"R_3g7uGGsNk5kOjQq","ind","गाली गलौच व्यक्तिगत या जातिगत धार्मिक टिप्पणी जिससे सामने वाले के आत्मसम्मान को ठेस पहुंचे।","Abuse, personal or caste based religious remarks which hurt the self esteem of the other person."
"R_z1o81icvOvXTRzr","ind","किसी की भावनाओं व सम्मान को जानबूझकर ठेंच पहुंचनेवाला content","Content that intentionally hurts someone&#39;s feelings and dignity"
"R_pGIKaLefoN38qEp","ind","ग़लत","Wrong"
"R_0f8ixDegrBj6QHD","ind","गाली-गलौच, अशालीन, अमर्यादित, निजी आलोचना/लांछन ंंंंंंंंऔर स्तरहीन ( सड़क छाप)भाषा।","Abuse, indecent, unruly, personal criticism/slander and lowly (street) language."
"R_2v8Gz1SKvlxrJJV","ind","Abhadra Bhaasha woh hoti hai jisme gaaliyaan, threat, aadi di hui hoti hai.","Obscene language is the one in which abuses, threats, etc. are given."
"R_3DhHqxWpjqS5RG3","ind","अनुचित शब्दों के साथ अपनी बात को कहना, जो सामने वाले को नकारात्मक रूप से प्रभावित करती है।","Expressing your views using inappropriate words, which negatively impacts the other person."
"R_2WtVPnVAf6CLBa9","ind","Demeaning language targeting an individual or group","Demeaning language targeting an individual or group"
"R_26gJP43JqvXLHql","ind","धमकी,  गाली","threats, abuse"
"R_1KrpW4b7uHKJeh7","ind","Something which can hurt people in a wrong way is a uncivilised language according to me.","Something which can hurt people in a wrong way is a uncivilised language according to me."
"R_Rlc07Di7plnkjWV","ind","किसी धर्म जाति के लोगों को गाली देना अभद्रताा है","It is indecent to abuse people of any religion or caste"
"R_2xJBcDv2hryfEGO","ind","गाली या सांप्रदायिक या जातिवादी भाषा","abusive or communal or casteist language"
"R_2wtVwPnvRAlpFHY","ind","अपसब्द","abusive"
"R_1207lEH8ACv6UFQ","ind","गाली देना, धर्म पर निशाना लगाना","abuse, targeting religion"
"R_3hFT1w1QkgpA35C","ind","Kisiko apne shabdo se hurt karna kisi bhi kaaran se wo abhadra hai
Agar kisi ne koi post dala hai aur wo aapko pasand nahi hai to usey gali dene se kya hone wala hai aisa nahi karna chahiye
Aur post bhi maryadit hona chahiye","Hurting someone with your words for whatever reason is obscene. If someone has posted something and you don&#39;t like it, what is the point in abusing him? This shouldn&#39;t be done and the post should also be limited."
"R_RUNvppd4HpxwVc5","ind","अभद्र भाषा का अर्थ होता है गाली-गलौच,नीचा दिखाने के उद्देश्य से बोला गया कोई जातिसूचक या घृणित शब्द इत्यादि।","Abusive language means abuse, casteist or hateful words spoken with the intention of insulting someone, etc."
"R_2yrXIhu65hqxmBB","ind","जिन शब्दों से लोगों को आहत या इंगित किया जाता हैं, जिसे उन्हें मानसिक रूप से दुःख, डर, अपमान का अनुभव होता है, उसे अभद्र भाषा कहा जा सकता है।","Words that hurt or insult people, which makes them feel sad, scared or insulted, can be called abusive language."
"R_ehyO8Q1C4yB9pT3","ind","अभद्र भाषा वह है जो मन पर प्रहार करती है सत्य सौम्यता से ही कहना चाहिए - एडवोकेट अमित श्रीवास्तव सिविल कोर्ट सीतापुर","Abusive language is that which attacks the mind, the truth should be spoken with gentleness - Advocate Amit Shrivastava, Civil Court, Sitapur"
